City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
605,Sedalia,US,76.42,overcast clouds,38.7045,-93.2283,Best Western State Fair Inn
606,Morant Bay,JM,85.62,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
608,Saint-Joseph,RE,70.18,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
609,Manicore,BR,82.54,scattered clouds,-5.8092,-61.3003,Hotel Durval
613,Englewood,US,76.73,broken clouds,39.6478,-104.9878,InTown Suites Extended Stay Denver CO - Englewood
615,Matara,LK,80.64,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
616,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
617,Moose Factory,CA,71.6,clear sky,51.2585,-80.6094,Moosonee Lilypad
618,Diffa,NE,93.81,broken clouds,13.3154,12.6113,ProDAF/Diffa
620,Rio Tercero,AR,73.8,overcast clouds,-32.173,-64.1141,Hospedaje Las Violetas
622,Boundiali,CI,74.62,light rain,9.5217,-6.4869,Hotel Paysan Boundiali
623,Antofagasta,CL,65.48,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
625,Yarada,IN,84.52,few clouds,17.65,83.2667,Yarada Jungle Beach Resorts
626,Malanje,AO,69.17,scattered clouds,-9.5402,16.341,Hotel Ginga
627,Pitiquito,MX,92.34,clear sky,30.7,-112.0833,La Víspera
632,Huacho,PE,69.22,broken clouds,-11.1067,-77.605,Hotel Restaurant Turístico Casablanca
635,Sechura,PE,76.41,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
637,Gushikawa,JP,75.2,broken clouds,26.3544,127.8686,Kirari Guest House
638,Ambilobe,MG,72.66,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
645,Benguela,AO,75.02,clear sky,-12.5763,13.4055,Hotel Praia Morena
647,Aksu,CN,71.91,clear sky,41.1231,80.2644,Pudong Holiday Hotel
648,Daru,PG,80.91,broken clouds,-9.0763,143.2092,Daru Lodge
650,Cassia,BR,71.42,overcast clouds,-20.5831,-46.9219,Hotel e Restaurante Âncora
651,Vila Do Maio,CV,74.19,scattered clouds,15.1333,-23.2167,Hotel Marilu
652,Mahajanga,MG,80.62,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
653,La Romana,DO,84.56,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
654,Trincomalee,LK,83.66,light rain,8.5711,81.2335,Welcombe Hotel
655,Gilgit,PK,71.28,clear sky,35.9221,74.3087,Tourist Hamlet Gilgit
656,Fasa,IR,67.24,clear sky,28.9383,53.6482,Fasa University Boys' Dormitory
657,Pishva,IR,65.1,clear sky,35.308,51.7267,شهرک خورشید هشتم
658,Oranjestad,AW,85.95,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
660,Trairi,BR,77.7,overcast clouds,-3.2778,-39.2689,janelas do mar
661,Najran,SA,83.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
663,Tucuman,AR,69.8,scattered clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
664,Ampanihy,MG,71.26,scattered clouds,-24.7,44.75,Angora Hotel
668,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
671,Kavieng,PG,84.38,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
672,Upleta,IN,82.49,clear sky,21.7333,70.2833,Salman odiya homes
675,Marsa Matruh,EG,68.2,clear sky,31.3525,27.2453,Beau Site
676,Pringsewu,ID,75.33,overcast clouds,-5.3582,104.9744,Urban Style by Front One
