City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Cape Town,ZA,2022-05-06 04:20:02,-33.9258,18.4232,58.12,96,75,5.01
68,Itupiranga,BR,2022-05-06 04:24:35,-5.1347,-49.3267,75.52,95,11,0.98
69,Eureka,US,2022-05-06 04:24:36,40.8021,-124.1637,59.36,84,100,3.0
70,Gorele,TR,2022-05-06 04:24:36,41.0308,39.0031,51.26,88,100,5.03
71,Vaini,TO,2022-05-06 04:16:39,-21.2,-175.2,78.96,83,75,11.5
72,Forio,IT,2022-05-06 04:24:37,40.7342,13.8646,67.73,77,100,1.99
73,Kokopo,PG,2022-05-06 04:24:38,-4.352,152.2633,86.43,64,28,8.23
74,Balatonlelle,HU,2022-05-06 04:24:39,46.7832,17.695,58.86,80,100,6.69
75,Lundamo,NO,2022-05-06 04:24:39,63.1333,10.3,41.67,85,99,5.99
76,Port Alfred,ZA,2022-05-06 04:16:20,-33.5906,26.891,66.4,55,0,10.45
77,Saldanha,ZA,2022-05-06 04:20:46,-33.0117,17.9442,55.45,89,83,0.85
78,Solnechnyy,RU,2022-05-06 04:24:40,50.7214,136.6319,36.77,96,100,2.95
79,Yining,CN,2022-05-06 04:24:41,29.0361,114.5636,87.49,37,43,2.04
80,Sangar,RU,2022-05-06 04:24:41,63.9242,127.4739,36.75,66,12,9.44
81,Ribeira Grande,PT,2022-05-06 04:16:43,38.5167,-28.7,63.09,89,100,28.86
82,Amarkantak,IN,2022-05-06 04:24:42,22.6667,81.75,89.94,22,1,6.4
83,Namatanai,PG,2022-05-06 04:24:45,-3.6667,152.4333,83.73,78,55,9.1
84,Longyearbyen,SJ,2022-05-06 04:19:08,78.2186,15.6401,24.64,86,75,11.5
85,Umm Kaddadah,SD,2022-05-06 04:25:46,13.6017,26.6876,75.67,21,74,5.44
86,Chuy,UY,2022-05-06 04:16:36,-33.6971,-53.4616,53.96,88,30,4.9
87,Port Keats,AU,2022-05-06 04:25:47,-14.25,129.55,90.7,34,0,9.48
88,Maunabo,PR,2022-05-06 04:25:47,18.0072,-65.8993,78.64,81,21,10.94
89,Yangambi,CD,2022-05-06 04:25:48,0.8102,24.4336,68.68,99,84,0.87
90,Gloversville,US,2022-05-06 04:24:09,43.0528,-74.3438,53.29,76,0,0.0
91,Rumonge,BI,2022-05-06 04:25:48,-3.9736,29.4386,72.09,79,98,3.87
92,Nishihara,JP,2022-05-06 04:25:49,26.1842,127.7558,76.68,88,75,10.36
93,Tula,RU,2022-05-06 04:25:49,54.2044,37.6111,42.42,63,32,6.46
94,Bilibino,RU,2022-05-06 04:25:50,68.0546,166.4372,33.94,92,100,2.8
95,Saskylakh,RU,2022-05-06 04:25:51,71.9167,114.0833,29.32,96,100,8.84
96,Tura,IN,2022-05-06 04:25:51,25.5198,90.2201,82.67,61,72,2.39
97,Utuado,PR,2022-05-06 04:25:52,18.2655,-66.7004,76.6,89,62,3.47
98,Eyl,SO,2022-05-06 04:19:13,7.9803,49.8164,83.28,79,27,7.92
99,Qasigiannguit,GL,2022-05-06 04:25:52,68.8193,-51.1922,16.05,87,4,6.62
