City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
71,Abonnema,NG,4.7084,6.7931,79.09,88,98,6.82,overcast clouds,0,0
72,Zeya,RU,53.75,127.2667,45.0,40,87,4.74,overcast clouds,0,0
73,Imeni Stepana Razina,RU,54.8932,44.2963,49.42,64,93,7.94,overcast clouds,0,0
74,Sao Filipe,CV,14.8961,-24.4956,73.49,73,1,14.74,clear sky,0,0
75,Pisco,PE,-13.7,-76.2167,73.45,68,44,23.02,dust,0,0
76,Ribeira Grande,PT,38.5167,-28.7,64.8,77,20,9.22,few clouds,0,0
77,Torbay,CA,47.6666,-52.7314,43.57,69,20,14.97,few clouds,0,0
78,Hilo,US,19.7297,-155.09,91.27,77,75,5.75,light rain,0,0
79,Raudeberg,NO,61.9875,5.1352,45.95,62,100,20.92,overcast clouds,0,0
80,College,US,64.8569,-147.8028,44.2,62,75,12.66,broken clouds,0,0
81,Poronaysk,RU,49.2167,143.1167,33.37,92,100,5.59,snow,0,0
82,Aklavik,CA,68.2191,-135.0107,41.38,71,27,9.24,scattered clouds,0,0
83,East London,ZA,-33.0153,27.9116,63.09,75,95,12.82,overcast clouds,0,0
84,Tamale,GH,9.4008,-0.8393,80.11,76,87,7.87,moderate rain,0,0
85,Coquimbo,CL,-29.9533,-71.3436,62.33,67,75,5.75,broken clouds,0,0
86,Mana,GF,5.6592,-53.7767,79.99,79,46,8.9,scattered clouds,0,0
87,Hurghada,EG,27.2574,33.8129,80.64,28,0,2.3,clear sky,0,0
88,Soe,ID,-9.8607,124.284,64.49,90,48,4.34,scattered clouds,0,0
89,Teya,RU,60.3778,92.6267,21.81,96,100,4.68,overcast clouds,0,0
90,Port Blair,IN,11.6667,92.75,78.84,89,100,11.5,overcast clouds,0,0
91,Bac Lieu,VN,9.285,105.7244,80.58,84,96,15.5,overcast clouds,0,0
92,Rocha,UY,-34.4833,-54.3333,59.77,77,4,5.12,clear sky,0,0
93,Narsaq,GL,60.9167,-46.05,55.62,75,90,3.76,overcast clouds,0,0
94,Yellowknife,CA,62.456,-114.3525,28.56,86,100,26.46,light snow,0,0
95,Aykhal,RU,66.0,111.5,5.99,98,99,9.42,overcast clouds,0,0
96,Uppsala,SE,60.0,17.75,40.44,56,19,4.61,few clouds,0,0
97,Pospelikha,RU,51.95,81.7667,41.94,39,75,6.55,broken clouds,0,0
